"basin","BFI","Q.mm_y","Q90.mm_d","Q10.mm_d","FDC.slope","flow.winter","flow.summer","class.Q.kmeans"
1013500,0.59,605,0.3271,4.0722,4.14,0.023,0.024,1
1022500,0.56,775,0.3282,4.9443,4.54,0.036,0.016,1
1030500,0.51,637,0.1837,4.6429,4.63,0.028,0.015,1
1031500,0.45,729,0.182,4.8995,5,0.028,0.016,1
1047000,0.48,779,0.288,5.0062,4.88,0.026,0.02,1
1052500,0.46,858,0.3759,5.4462,4.69,0.022,0.021,1
1054200,0.44,979,0.3514,5.742,4.7,0.027,0.018,1
1055000,0.44,797,0.2827,5.0861,4.68,0.025,0.02,1
1057000,0.48,654,0.1665,4.058,4.57,0.029,0.017,1
1073000,0.5,618,0.1263,3.9461,4.54,0.033,0.016,1
1078000,0.49,630,0.2094,4.0115,4.65,0.029,0.017,1
1118300,0.55,813,0.1615,4.8931,4.37,0.042,0.016,1
1121000,0.53,717,0.1713,4.0893,4.14,0.04,0.017,1
1123000,0.58,645,0.2854,3.513,4.23,0.04,0.018,1
1134500,0.48,744,0.3513,4.6297,4.35,0.026,0.021,1
1137500,0.54,839,0.5662,4.9786,4.31,0.027,0.022,1
1139000,0.57,602,0.3481,3.64,4.18,0.028,0.023,1
1139800,0.59,644,0.3298,4.0422,4.09,0.027,0.021,1
1142500,0.57,608,0.2924,3.6997,4.04,0.029,0.019,1
1144000,0.56,659,0.3335,3.9637,4.16,0.029,0.019,1
1162500,0.5,643,0.1468,4.1592,4.66,0.034,0.016,1
1169000,0.5,806,0.286,4.7555,4.65,0.031,0.016,1
1170100,0.53,774,0.2744,4.6188,4.5,0.031,0.017,1
1181000,0.49,763,0.2206,4.5221,4.84,0.033,0.016,1
1187300,0.44,724,0.1223,4.3495,4.76,0.036,0.015,2
1333000,0.55,718,0.3058,4.3427,4.33,0.036,0.017,1
1350000,0.45,739,0.1397,4.3424,4.98,0.034,0.015,2
1350140,0.46,518,0.0528,3.0582,4.6,0.036,0.014,2
1365000,0.55,954,0.3915,5.358,4.11,0.035,0.02,1
1411300,0.72,450,0.4336,2.2917,3.74,0.034,0.024,1
1413500,0.52,689,0.202,4.0276,4.52,0.036,0.017,1
1414500,0.53,789,0.2638,4.4726,4.18,0.037,0.017,1
1415000,0.51,630,0.1735,3.8349,4.37,0.038,0.016,1
1423000,0.52,638,0.165,3.8974,4.76,0.038,0.016,1
1435000,0.54,1036,0.5405,5.4763,4.15,0.034,0.019,1
1439500,0.58,719,0.2319,4.2215,4.07,0.038,0.018,1
1440000,0.59,640,0.2476,3.5388,4.3,0.037,0.019,1
1440400,0.55,737,0.2796,4.1801,4.47,0.038,0.018,1
1451800,0.47,635,0.1979,3.8138,4.49,0.041,0.018,1
1466500,0.84,340,0.4844,1.4679,3.46,0.032,0.029,1
1484100,0.71,347,0.2148,1.767,3.32,0.035,0.024,1
1485500,0.48,338,0.0517,2.1881,4.88,0.043,0.017,2
1486000,0.52,451,0.1045,2.669,4.98,0.042,0.018,2
1487000,0.74,452,0.3271,2.4073,3.7,0.035,0.023,1
1491000,0.56,432,0.1341,2.3963,4.3,0.037,0.02,1
1510000,0.51,649,0.1725,3.9094,4.74,0.038,0.015,1
1516500,0.41,373,0.0474,2.2098,5.6,0.035,0.016,2
1532000,0.43,482,0.0707,2.8299,5.17,0.039,0.014,2
1539000,0.52,636,0.2126,3.6246,4.35,0.039,0.018,1
1542810,0.38,566,0.0786,3.6699,5.15,0.038,0.018,2
1543000,0.45,597,0.1074,3.8119,4.87,0.038,0.018,2
1543500,0.48,594,0.1142,3.729,4.64,0.038,0.018,1
1544500,0.48,585,0.1172,3.6113,4.76,0.037,0.017,1
1545600,0.51,542,0.1162,3.3436,4.62,0.036,0.018,1
1547700,0.44,485,0.0708,2.9831,5.5,0.038,0.015,2
1548500,0.49,508,0.1241,3.2055,4.78,0.036,0.018,1
1549500,0.47,549,0.1009,3.2789,4.71,0.038,0.015,2
1550000,0.49,596,0.1512,3.4879,4.38,0.037,0.016,1
1552000,0.5,624,0.1846,3.4889,4.35,0.04,0.016,1
1552500,0.48,722,0.1965,4.0108,4.38,0.04,0.018,1
1557500,0.53,577,0.1596,3.5103,4.89,0.037,0.016,1
1567500,0.54,474,0.2509,2.572,4.96,0.036,0.021,1
1568000,0.51,509,0.1649,3.0239,5,0.037,0.017,1
1580000,0.71,471,0.4312,2.1758,3.66,0.035,0.026,1
1583500,0.73,392,0.3607,1.8349,3.72,0.036,0.025,1
1591400,0.64,379,0.2571,1.7002,3.67,0.038,0.023,1
1596500,0.45,553,0.0763,3.6796,5.04,0.04,0.013,2
1605500,0.53,372,0.1751,2.0669,5,0.037,0.017,1
1606500,0.51,438,0.1423,2.6861,5.06,0.037,0.016,1
1613050,0.41,440,0.0227,2.9708,5.87,0.039,0.013,2
1620500,0.41,580,0.0598,3.3708,5.56,0.038,0.016,2
1632000,0.38,345,0.0243,2.0185,6.2,0.037,0.015,2
1632900,0.59,288,0.1498,1.5378,4.52,0.037,0.018,1
1634500,0.47,366,0.1019,2.0851,5.24,0.037,0.014,2
1638480,0.48,372,0.058,2.088,4.8,0.037,0.017,2
1639500,0.57,401,0.2108,2.08,4.4,0.04,0.02,1
1644000,0.51,362,0.0456,2.1447,4.91,0.038,0.017,2
1658500,0.38,345,0.027,1.674,5.01,0.041,0.013,2
1664000,0.55,401,0.0976,2.1951,4.44,0.038,0.019,1
1666500,0.57,450,0.2008,2.2035,3.97,0.037,0.022,1
1667500,0.56,422,0.1577,2.2646,4.29,0.038,0.021,1
1669000,0.66,350,0.1291,1.9369,3.61,0.037,0.02,1
2011400,0.53,367,0.1559,2.1228,5.07,0.038,0.017,1
2011460,0.45,529,0.0894,3.2464,5.18,0.041,0.014,2
2013000,0.44,362,0.1036,2.1472,5.91,0.04,0.014,2
2014000,0.53,395,0.1664,2.2974,4.99,0.038,0.017,1
2015700,0.55,500,0.3005,2.6354,5.04,0.037,0.019,1
2016000,0.49,428,0.1802,2.3954,5.24,0.039,0.017,2
2017500,0.5,426,0.1152,2.8455,6.04,0.039,0.015,2
2018000,0.5,409,0.1407,2.4977,5.45,0.039,0.017,2
2027000,0.57,599,0.1929,3.4313,4.39,0.04,0.018,1
2027500,0.56,691,0.1989,3.9583,4.39,0.04,0.019,1
2028500,0.56,529,0.1498,3.1256,4.3,0.038,0.019,1
2038850,0.57,313,0.1557,1.4457,4.03,0.039,0.019,1
2046000,0.44,329,0.0296,1.8878,5.08,0.039,0.016,2
2051500,0.47,316,0.0942,1.6282,5.04,0.039,0.017,2
2053200,0.4,328,0.0163,2.408,6.82,0.042,0.019,2
2053800,0.59,360,0.2177,1.8893,4.61,0.035,0.022,1
2055100,0.6,363,0.1736,1.8941,4.23,0.036,0.022,1
2056900,0.62,378,0.2463,1.8144,3.85,0.035,0.025,1
2059500,0.57,336,0.2068,1.6142,4.23,0.035,0.023,1
2064000,0.55,341,0.2001,1.5948,4.45,0.038,0.02,1
2065500,0.6,351,0.2321,1.5859,4.21,0.038,0.02,1
2069700,0.71,497,0.465,2.2805,3.82,0.032,0.03,1
2070000,0.67,431,0.4243,1.8146,3.88,0.033,0.029,1
2074500,0.59,353,0.2878,1.4392,4.1,0.035,0.024,1
2077200,0.35,337,0.0116,1.7407,5.23,0.042,0.017,2
2081500,0.33,328,0.0114,1.8509,6.28,0.042,0.014,2
2082950,0.45,327,0.0531,1.8097,5,0.04,0.017,2
2092500,0.42,360,0.0311,2.392,5.09,0.038,0.022,2
2102908,0.73,494,0.5749,2.2019,4.16,0.036,0.029,1
2108000,0.51,400,0.078,2.4169,4.13,0.039,0.021,1
2111180,0.64,614,0.4296,3.0069,3.97,0.034,0.028,1
2111500,0.73,496,0.481,2.2584,3.73,0.034,0.029,1
2112120,0.7,479,0.4559,2.2551,3.92,0.034,0.029,1
2112360,0.74,529,0.549,2.3511,3.52,0.032,0.03,1
2118500,0.66,417,0.3539,1.9158,3.93,0.034,0.025,1
2128000,0.41,355,0.0583,1.649,4.8,0.039,0.018,2
2137727,0.68,640,0.5264,3.0249,3.87,0.035,0.027,1
2143000,0.65,522,0.3946,2.424,3.75,0.036,0.025,1
2143040,0.61,621,0.3707,3.1509,4.19,0.036,0.025,1
2149000,0.7,560,0.4797,2.6385,3.87,0.035,0.028,1
2152100,0.66,472,0.363,2.194,4.01,0.035,0.026,1
2177000,0.74,1037,0.8821,5.1995,3.51,0.037,0.027,1
2178400,0.72,1008,0.9073,4.958,3.56,0.038,0.025,1
2202600,0.38,263,0.0034,1.866,6.49,0.044,0.024,2
2212600,0.36,256,0.0143,1.3404,5.12,0.047,0.015,2
2221525,0.53,271,0.0797,1.4151,4.11,0.042,0.018,1
2231000,0.45,295,0.0504,1.9567,5.79,0.03,0.027,2
2231342,0.4,393,2e-04,2.7087,5.45,0.018,0.05,5
2245500,0.45,333,0.1265,1.9263,5.17,0.03,0.033,1
2246000,0.41,356,0.1139,1.9963,5.12,0.028,0.031,2
2296500,0.43,252,0.0141,1.8468,6.74,0.019,0.047,3
2297155,0.37,287,0.0044,1.9521,6.03,0.016,0.055,3
2297310,0.42,333,0.0222,2.3724,6.03,0.016,0.056,5
2298123,0.49,369,0.0452,2.9395,5.2,0.015,0.059,5
2298608,0.39,473,0.04,3.2856,5.96,0.016,0.057,5
2299950,0.35,410,0.0759,2.6715,5.89,0.016,0.058,5
2300700,0.38,546,0.2116,2.678,5.03,0.024,0.042,5
2310947,0.46,170,0,1.3136,6.75,0.028,0.034,3
2312200,0.54,156,0,1.1907,6.97,0.027,0.03,3
2314500,0.59,225,0.0191,1.716,6.39,0.034,0.018,2
2315500,0.57,233,0.0216,1.7105,5.84,0.032,0.018,2
2324400,0.5,204,0.0101,1.5569,7.37,0.027,0.032,3
2327100,0.35,605,0.0244,4.3334,5.78,0.031,0.039,3
2342933,0.35,328,0.0228,1.721,5.4,0.041,0.018,2
2349900,0.47,288,0.0716,1.8101,6.26,0.045,0.018,2
2361000,0.57,419,0.1826,2.4164,4.17,0.04,0.023,1
2369800,0.55,534,0.3863,2.8221,4.6,0.037,0.027,1
2371500,0.52,406,0.0927,2.6112,5.06,0.041,0.02,2
2372250,0.51,430,0.109,2.6923,5.1,0.04,0.019,2
2374500,0.64,540,0.4608,2.7198,4.41,0.038,0.026,1
2381600,0.64,1387,0.8318,6.8504,3.82,0.037,0.023,1
2395120,0.57,453,0.2767,2.3301,4.33,0.041,0.019,1
2408540,0.55,514,0.1901,2.8878,4.52,0.042,0.019,1
2422500,0.58,463,0.2827,2.5161,4.62,0.043,0.021,1
2430085,0.48,606,0.2089,3.2223,5.3,0.046,0.016,2
2430615,0.56,592,0.3037,2.6997,4.53,0.044,0.019,1
2450250,0.37,617,0.058,3.6909,6.48,0.05,0.011,2
2464000,0.38,556,0.033,3.5655,5.9,0.05,0.012,2
2465493,0.64,420,0.3832,2.0634,4.61,0.043,0.021,1
2469800,0.43,466,0.0868,2.7126,5.14,0.046,0.018,2
2472000,0.41,491,0.1447,3.3645,6.38,0.049,0.014,2
2472500,0.54,486,0.4026,2.4156,5.62,0.042,0.02,1
2479155,0.38,574,0.1661,3.2145,5.78,0.044,0.021,2
2479300,0.5,654,0.3636,3.8923,4.89,0.04,0.024,1
2479560,0.5,651,0.2675,4.1057,4.78,0.042,0.021,1
2481000,0.32,733,0.0825,4.3508,5.34,0.041,0.022,2
2481510,0.42,646,0.2046,3.9707,5.08,0.041,0.023,2
3010655,0.5,548,0.1349,3.3905,4.94,0.038,0.018,1
3011800,0.54,704,0.2691,4.1102,4.35,0.039,0.019,1
3015500,0.48,737,0.2649,4.6438,4.81,0.043,0.017,1
3021350,0.41,826,0.1631,5.3009,5.19,0.046,0.013,2
3026500,0.49,661,0.159,4.0368,4.29,0.038,0.019,1
3028000,0.51,722,0.2583,4.4342,4.41,0.038,0.019,1
3049000,0.47,473,0.0973,2.9866,4.89,0.042,0.018,2
3049800,0.42,391,0.0669,2.4466,4.77,0.039,0.017,2
3069500,0.47,894,0.2306,5.5993,4.18,0.04,0.019,1
3070500,0.46,732,0.1278,4.6887,4.55,0.045,0.015,2
3076600,0.49,659,0.1503,4.4308,4.77,0.042,0.017,1
3078000,0.5,688,0.1307,4.3005,4.54,0.041,0.015,1
3140000,0.44,348,0.0489,2.132,5.18,0.041,0.019,2
3144000,0.43,394,0.0741,2.3118,5.3,0.039,0.019,2
3159540,0.35,378,0.0165,2.294,5.79,0.041,0.013,2
3161000,0.73,698,0.7368,3.1648,3.57,0.035,0.028,1
3164000,0.69,560,0.5145,2.7506,3.84,0.036,0.026,1
3165000,0.69,599,0.6236,2.5665,3.78,0.034,0.027,1
3170000,0.69,391,0.3662,1.8403,3.7,0.035,0.026,1
3173000,0.54,362,0.1488,2.2313,5.51,0.038,0.017,2
3180500,0.47,734,0.1135,4.5528,4.45,0.042,0.015,1
3182500,0.45,611,0.104,3.8141,4.96,0.042,0.014,2
3186500,0.46,932,0.1334,5.9311,4.36,0.042,0.018,1
3213700,0.55,390,0.1402,2.3507,4.76,0.037,0.019,1
3237280,0.35,385,0.0037,2.4466,6.75,0.04,0.012,2
3237500,0.3,413,0.0102,2.5612,6.38,0.043,0.011,2
3238500,0.21,440,0.0077,2.2961,6.92,0.042,0.013,2
3241500,0.46,372,0.0787,2.232,5.6,0.039,0.021,2
3280700,0.4,468,0.0557,2.7408,5.18,0.042,0.014,2
3281500,0.4,492,0.0439,3.0615,5.42,0.046,0.014,2
3285000,0.33,507,0.0173,3.1252,5.8,0.048,0.013,2
3291780,0.26,527,0.0017,2.8601,5.84,0.042,0.017,2
3340800,0.39,381,0.0342,2.1732,6.13,0.04,0.022,2
3346000,0.23,356,0.0093,2.1986,7.09,0.042,0.018,2
3357350,0.31,403,0,2.2325,5.92,0.041,0.019,2
3364500,0.35,419,0.009,2.5292,5.93,0.041,0.02,2
3366500,0.29,478,0.0185,2.6721,6.35,0.043,0.014,2
3368000,0.21,481,0.0016,2.2019,6.58,0.042,0.016,2
3384450,0.26,508,0.0033,2.6626,7.59,0.046,0.01,2
3439000,0.72,1132,1.0524,5.4809,3.66,0.038,0.026,1
3455500,0.63,1185,0.8379,5.8584,3.86,0.04,0.022,1
3456500,0.64,920,0.5739,4.7092,3.96,0.039,0.021,1
3460000,0.69,766,0.6357,3.7951,3.8,0.038,0.023,1
3463300,0.6,1084,0.6553,5.4349,3.94,0.036,0.024,1
3471500,0.62,483,0.3213,2.6566,4.71,0.038,0.022,1
3473000,0.62,523,0.3272,2.8979,4.26,0.038,0.022,1
3479000,0.59,653,0.3939,3.2448,3.96,0.038,0.023,1
3488000,0.53,434,0.1608,2.6159,5.05,0.041,0.018,1
3498500,0.58,630,0.3229,3.3908,4.13,0.041,0.02,1
3500000,0.73,882,0.7523,4.4445,3.75,0.038,0.024,1
3500240,0.71,820,0.6368,4.1558,3.81,0.039,0.023,1
3504000,0.72,1308,1.1236,6.5061,3.59,0.04,0.024,6
3574500,0.39,699,0.0631,4.298,5.75,0.053,0.009,2
3592718,0.43,550,0.1789,2.6657,5.41,0.049,0.015,2
3604000,0.57,606,0.4439,2.7979,4.7,0.044,0.018,1
4015330,0.34,369,0.0546,2.5121,6.06,0.012,0.026,3
4024430,0.47,317,0.1301,2.0631,5.65,0.013,0.028,5
4027000,0.51,332,0.1963,1.9784,5.2,0.018,0.022,1
4040500,0.5,418,0.1806,2.7844,4.95,0.019,0.019,1
4043050,0.54,496,0.3813,2.669,4.92,0.021,0.018,1
4045500,0.64,403,0.3497,2.2544,4.26,0.027,0.017,1
4056500,0.71,413,0.4518,2.1509,3.91,0.028,0.021,1
4057510,0.65,335,0.3097,1.8065,3.85,0.026,0.021,1
4057800,0.54,423,0.2531,2.5098,4.67,0.02,0.022,1
4059500,0.53,260,0.1054,1.7729,4.85,0.02,0.02,1
4063700,0.62,252,0.1955,1.4963,4.79,0.02,0.028,1
4074950,0.78,307,0.4382,1.3994,3.81,0.027,0.029,1
4105700,0.82,399,0.6491,1.6477,3.3,0.035,0.027,1
4122200,0.83,398,0.621,1.6995,3.62,0.035,0.025,1
4122500,0.84,407,0.6556,1.7011,3.65,0.034,0.026,1
4124000,0.88,426,0.8681,1.57,3.41,0.032,0.029,1
4127918,0.58,345,0.2857,1.8439,4.43,0.027,0.017,1
4127997,0.88,404,0.8138,1.4519,3.7,0.032,0.029,1
4161580,0.62,231,0.13,1.3762,3.9,0.036,0.018,1
4185000,0.42,328,0.0644,2.5294,5.75,0.04,0.018,2
4196800,0.27,316,0.008,2.4144,7.3,0.043,0.02,2
4197100,0.28,323,0.0139,2.3381,6.84,0.044,0.018,2
4213000,0.37,592,0.0807,4.0328,5.82,0.049,0.013,2
4216418,0.49,530,0.1748,3.1056,4.78,0.041,0.014,1
4221000,0.5,464,0.1238,2.8147,4.75,0.037,0.018,1
4224775,0.51,391,0.1371,2.2125,4.68,0.036,0.016,1
4233000,0.55,403,0.1675,2.2604,4.5,0.035,0.018,1
4256000,0.54,813,0.5378,4.6084,4.14,0.034,0.017,1
4296000,0.53,638,0.3727,4.0992,4.61,0.028,0.021,1
5056000,0.45,17,0.0017,0.1121,6.13,0.007,0.031,3
5057000,0.5,22,0.0032,0.1387,5.42,0.008,0.033,5
5057200,0.39,17,0.001,0.0851,5.57,0.006,0.027,3
5120500,0.47,12,1e-04,0.0778,5.57,0.007,0.027,5
5123400,0.42,15,0,0.0824,5.41,0.002,0.04,5
5129115,0.7,239,0.1463,1.5148,4.23,0.019,0.039,5
5131500,0.51,218,0.0659,1.5068,5.07,0.014,0.033,5
5291000,0.4,72,0.0075,0.3926,5.53,0.008,0.033,5
5362000,0.42,314,0.0977,1.9712,5.39,0.016,0.021,2
5393500,0.42,369,0.1112,2.2464,5.32,0.016,0.021,2
5399500,0.27,264,0.028,1.4866,6.53,0.014,0.022,3
5408000,0.77,250,0.3906,0.9978,3.74,0.027,0.034,1
5412500,0.61,294,0.1776,1.6995,4.42,0.018,0.039,5
5413500,0.78,244,0.3168,1.0279,3.72,0.027,0.037,1
5414000,0.76,264,0.3033,1.1606,3.68,0.025,0.039,1
5444000,0.67,278,0.2473,1.3469,4.04,0.03,0.036,1
5454000,0.44,269,0.0128,1.5809,5.12,0.023,0.04,5
5458000,0.5,263,0.085,1.5416,5.35,0.015,0.042,5
5466500,0.51,277,0.0616,1.7729,5.04,0.028,0.034,1
5487980,0.26,249,0.0103,1.3743,7.11,0.016,0.039,3
5489000,0.26,245,0.0106,1.1429,6.31,0.016,0.04,3
5495000,0.23,275,0.01,1.5893,7.48,0.027,0.032,3
5495500,0.2,266,0.0057,1.4037,7.64,0.03,0.028,3
5501000,0.22,287,0.0106,1.4414,6.91,0.033,0.024,3
5503800,0.12,269,0,1.0452,8.15,0.03,0.03,3
5507600,0.1,250,2e-04,0.8167,8.22,0.037,0.027,3
5508805,0.2,256,0.0042,1.0635,7.31,0.037,0.022,3
5514500,0.21,276,0.0071,1.4637,7.44,0.035,0.022,3
5525500,0.38,342,0.0296,2.3431,6.19,0.037,0.025,2
5556500,0.48,291,0.0276,1.841,5.07,0.032,0.03,1
5584500,0.37,254,0.0173,1.6157,6.11,0.03,0.029,3
5585000,0.36,250,0.0226,1.8873,6.59,0.029,0.028,3
