"basin","BFI","Q.mm_y","Q90.mm_d","Q10.mm_d","FDC.slope","flow.winter","flow.summer","class.Q.kmeans"
5591550,0.36,310,0,1.9369,5.22,0.042,0.018,2
5592050,0.3,299,0.0037,1.5893,6.65,0.042,0.016,2
5593575,0.13,333,0.0044,1.6812,8.38,0.043,0.016,3
5593900,0.18,293,0.0019,1.2486,7.18,0.043,0.015,2
5595730,0.13,351,0,1.4968,7.75,0.043,0.011,2
6191500,0.68,407,0.2641,3.0835,4.9,0.01,0.071,5
6224000,0.6,506,0.1009,4.1566,5.94,0.004,0.091,5
6278300,0.42,463,0.0912,3.4003,5.01,0.004,0.08,5
6280300,0.61,434,0.2157,3.5127,4.94,0.007,0.083,5
6289000,0.71,256,0.2805,1.5012,3.15,0.015,0.06,5
6311000,0.52,220,0.0762,1.6845,5.86,0.006,0.06,5
6332515,0.14,19,5e-04,0.0243,4.44,0.011,0.015,3
6339100,0.18,22,3e-04,0.0555,5.01,0.013,0.022,3
6339500,0.26,17,0.0013,0.0694,5.09,0.013,0.024,3
6344600,0.18,24,2e-04,0.0607,5.02,0.01,0.029,3
6350000,0.26,18,0.0026,0.0587,4.03,0.013,0.028,3
6352000,0.25,17,0.0012,0.0611,4.76,0.01,0.022,3
6353000,0.3,15,0,0.0686,6.02,0.008,0.021,3
6354000,0.32,18,4e-04,0.0893,5.76,0.008,0.024,3
6360500,0.28,20,0,0.1011,7.07,0.006,0.03,3
6404000,0.49,49,0.0016,0.2736,4.27,0.012,0.053,5
6406000,0.7,34,0.0101,0.1908,3.38,0.021,0.05,5
6409000,0.87,63,0.0862,0.2984,2.96,0.026,0.037,1
6431500,0.86,130,0.2005,0.5443,2.73,0.027,0.035,1
6447000,0.32,18,0.001,0.1058,5.77,0.013,0.041,3
6447500,0.66,25,0.0208,0.1272,3.22,0.027,0.029,1
6450500,0.72,33,0.0357,0.1607,3.11,0.028,0.03,1
6452000,0.42,23,0.0047,0.1385,5.54,0.014,0.038,5
6453600,0.5,45,0.0027,0.2597,4.88,0.014,0.032,5
6464500,0.63,31,0.0202,0.1671,3.69,0.024,0.029,1
6468170,0.35,21,0,0.1115,7.46,0.002,0.029,3
6470800,0.35,14,0,0.0914,7.97,0.004,0.031,3
6477500,0.25,25,0,0.0809,8.45,0.004,0.037,3
6479438,0.41,45,6e-04,0.2467,6.09,0.007,0.031,3
6601000,0.66,127,0.0707,0.5817,3.62,0.021,0.044,5
6614800,0.51,687,0.1774,5.7494,6.26,0.005,0.097,5
6622700,0.49,438,0.1977,3.4351,5.94,0.007,0.07,5
6623800,0.53,529,0.2212,4.6199,6.26,0.007,0.078,5
6632400,0.47,421,0.1276,3.8245,6.26,0.005,0.08,5
6746095,0.5,1026,0.1522,8.6989,6.89,0.004,0.098,5
6784000,0.73,33,0.0394,0.1374,2.74,0.031,0.032,1
6803510,0.4,124,0.0563,0.3897,3.75,0.017,0.053,5
6803530,0.39,117,0.0552,0.3709,3.93,0.017,0.053,5
6814000,0.29,166,0.0079,0.6853,5.95,0.014,0.041,3
6847900,0.43,4,0,0.0159,2.96,0.016,0.06,5
6853800,0.4,43,0.0015,0.1703,4.3,0.017,0.048,5
6876700,0.34,59,0.0053,0.2386,5.4,0.013,0.054,5
6878000,0.37,101,0.0274,0.3626,4.54,0.017,0.042,5
6879650,0.37,174,0,1.0194,4.31,0.012,0.04,5
6885500,0.27,168,0.018,0.6693,6.16,0.015,0.045,3
6888500,0.38,227,0.032,1.0513,5.96,0.017,0.037,3
6889200,0.28,227,0.0158,0.9241,6.17,0.015,0.036,3
6889500,0.28,221,0.0235,0.895,6.35,0.015,0.037,3
6892000,0.25,242,0.0094,1.1819,7.08,0.017,0.038,3
6903400,0.19,253,0.0016,1.4039,8.36,0.015,0.036,3
6910800,0.22,223,0.0014,0.9445,7.26,0.02,0.034,3
6911900,0.21,219,0,0.8517,6.66,0.019,0.032,3
6917000,0.22,327,0.0013,1.498,7.39,0.025,0.031,3
6918460,0.51,387,0.1052,2.2549,4.9,0.035,0.021,1
6919500,0.28,314,0.0032,1.6982,6.84,0.033,0.02,3
6921070,0.35,374,0.0343,2.0128,6.13,0.037,0.016,2
6921200,0.28,326,0.0051,1.5631,6.38,0.037,0.014,2
7014500,0.53,333,0.1985,1.7494,5.11,0.036,0.02,1
7056000,0.4,463,0.0455,2.7665,6.35,0.044,0.01,2
7057500,0.7,483,0.5091,2.3021,4.63,0.035,0.022,1
7060710,0.33,280,0.0603,1.419,5.66,0.041,0.008,2
7066000,0.58,447,0.3435,2.2767,5.04,0.037,0.018,1
7067000,0.67,470,0.4326,2.3504,4.69,0.036,0.022,1
7068000,0.71,514,0.5934,2.3863,4.54,0.035,0.023,1
7071500,0.75,368,0.3578,1.7044,4.21,0.034,0.024,1
7083000,0.6,453,0.1404,3.6498,5.34,0.006,0.09,5
7142300,0.6,7,1e-04,0.0376,3.63,0.021,0.041,5
7145700,0.17,201,0.0116,0.5994,6.23,0.018,0.046,3
7148400,0.52,46,0.0066,0.2603,4.04,0.021,0.037,5
7149000,0.59,69,0.0299,0.3266,3.33,0.025,0.035,1
7151500,0.43,133,0.0429,0.594,4.61,0.021,0.037,5
7167500,0.23,303,0.0033,1.1086,7.35,0.021,0.042,3
7180500,0.33,219,0.0319,0.8067,5.14,0.021,0.041,3
7184000,0.14,358,1e-04,1.58,7.84,0.025,0.031,3
7195800,0.53,379,0.2382,1.8671,4.47,0.036,0.026,1
7196900,0.36,441,0.03,2.3496,5.68,0.041,0.016,2
7197000,0.45,423,0.1029,2.3582,5.29,0.038,0.019,2
7208500,0.61,83,0.0446,0.477,4.19,0.01,0.035,5
7226500,0.08,2,0,0.0033,6.63,0.004,0.091,3
7261000,0.39,499,0.0043,3.3407,6.26,0.053,0.005,2
7291000,0.38,496,0.235,2.1452,5.53,0.047,0.016,2
7292500,0.44,501,0.2844,2.4194,5.23,0.044,0.019,2
7299670,0.43,33,0.0136,0.0886,3.78,0.017,0.048,5
7301410,0.65,15,0.0028,0.0731,3.3,0.032,0.026,1
7301500,0.51,18,5e-04,0.086,3.95,0.025,0.031,1
7315200,0.07,60,0,0.0829,9.69,0.025,0.028,3
7315700,0.15,145,3e-04,0.5488,8.23,0.027,0.026,3
7335700,0.33,773,0,4.3468,5.33,0.047,0.012,2
7340300,0.34,708,0.1489,4.1996,5.85,0.046,0.013,2
7346045,0.49,318,0.0018,2.1199,4.98,0.048,0.013,2
7362100,0.34,409,0.015,3.1442,7.74,0.046,0.017,2
7373000,0.45,463,0.2615,1.7369,4.59,0.046,0.017,2
7375000,0.47,572,0.4127,2.6234,5.8,0.041,0.024,2
8013000,0.34,601,0.0624,4.4053,8.07,0.053,0.012,2
8014500,0.47,574,0.3037,3.2246,5.83,0.048,0.019,2
8023080,0.17,395,0,2.1212,7.56,0.054,0.013,2
8029500,0.47,420,0.2571,1.8882,4.95,0.045,0.02,2
8066200,0.17,318,0.0148,1.2098,6.42,0.05,0.019,2
8066300,0.42,343,0.1211,1.9241,5.45,0.045,0.019,2
8070000,0.3,293,0.0582,1.6751,6.19,0.048,0.02,2
8079600,0.04,8,0,0.0088,9.78,0.01,0.049,3
8082700,0.04,29,0,0.0151,8.85,0.011,0.078,3
8086212,0.12,29,0,0.0587,7.13,0.03,0.036,3
8086290,0.06,34,0,0.0434,12.11,0.022,0.048,3
8101000,0.31,85,0,0.3679,7.19,0.034,0.031,3
8103900,0.4,109,0,0.7112,5.99,0.039,0.031,2
8104900,0.4,137,0.0021,0.7204,5.9,0.035,0.036,3
8109700,0.23,99,0,0.3489,4.52,0.051,0.023,2
8150800,0.33,31,0.0012,0.114,4.71,0.032,0.04,3
8158700,0.47,153,2e-04,1.0245,7.03,0.038,0.036,3
8158810,0.43,173,0,1.1468,5.96,0.042,0.032,2
8164000,0.19,196,0.0106,0.637,6.37,0.03,0.028,3
8164300,0.17,144,0.0028,0.3514,5.13,0.037,0.021,2
8164600,0.12,206,0.001,0.5394,7.31,0.027,0.03,3
8165300,0.64,81,0.0786,0.275,3.04,0.032,0.032,1
8171300,0.47,150,0,0.8048,5.2,0.035,0.041,5
8175000,0.13,80,0.0029,0.2426,6.81,0.029,0.035,3
8176900,0.2,78,0.0016,0.1931,5.01,0.026,0.031,3
8189500,0.18,67,0.0026,0.161,5.41,0.022,0.032,3
8190000,0.6,90,0.0499,0.4267,3.75,0.032,0.035,1
8190500,0.14,15,0,0.0231,7.45,0.016,0.057,3
8194200,0.05,26,0,0.024,10.37,0.01,0.052,3
8195000,0.63,133,0.0785,0.5997,3.64,0.029,0.044,1
8196000,0.5,101,0.0232,0.5013,4.53,0.025,0.044,5
8198500,0.3,58,0.0021,0.1411,3.99,0.019,0.075,5
8200000,0.44,179,0.0034,0.8253,5.05,0.021,0.057,5
8202700,0.02,21,0,0,8.97,0.006,0.097,3
8267500,0.69,336,0.2447,2.1662,4.08,0.011,0.059,5
8269000,0.62,163,0.0811,1.1257,4.84,0.009,0.04,5
8271000,0.69,436,0.3058,2.8914,4.47,0.011,0.058,5
8324000,0.63,60,0.0365,0.399,4.59,0.014,0.02,1
8377900,0.56,240,0.1038,1.5841,5.22,0.008,0.047,5
8378500,0.62,224,0.1319,1.446,4.59,0.01,0.049,5
8380500,0.57,104,0.0482,0.6302,5.11,0.013,0.039,5
9034900,0.52,603,0.1223,5.199,6.83,0.004,0.098,5
9035800,0.59,368,0.2127,2.7657,5.6,0.009,0.084,5
9035900,0.61,426,0.2614,3.318,5.71,0.009,0.082,5
9047700,0.66,253,0.2039,1.5291,4.37,0.013,0.069,5
9065500,0.54,724,0.1803,6.5027,6.37,0.005,0.085,5
9066000,0.52,477,0.1758,3.7463,5.48,0.007,0.074,5
9066200,0.51,671,0.1376,6.2693,6.01,0.004,0.08,5
9066300,0.49,320,0.0474,3.0582,6.28,0.004,0.09,5
9081600,0.61,636,0.2656,5.3949,6.14,0.007,0.074,5
9210500,0.68,154,0.1106,0.9713,4,0.012,0.051,5
9223000,0.54,238,0.0735,1.7765,5.69,0.006,0.058,5
9306242,0.63,21,0.0072,0.0955,3.85,0.012,0.043,5
9312600,0.51,120,0.0289,0.7152,5.47,0.006,0.028,5
9352900,0.61,713,0.2603,5.1794,5.5,0.007,0.064,5
9378630,0.47,103,0,0.685,9.99,0.002,0.017,3
9386900,0.25,27,0,0.0833,7.02,0.013,0.006,3
9404450,0.79,72,0.0672,0.3042,2.94,0.033,0.02,1
9430500,0.58,36,0.0209,0.1873,4.6,0.04,0.019,1
9430600,0.44,148,0.0038,0.9863,5.35,0.043,0.013,2
9480000,0.31,17,9e-04,0.0551,3.46,0.024,0.058,5
9492400,0.65,238,0.1536,1.5362,5.04,0.018,0.026,1
9494000,0.63,107,0.0421,0.7511,5.21,0.022,0.018,1
9497980,0.42,55,0.0189,0.2461,5.66,0.056,0.011,2
9505350,0.24,99,0,0.5334,7.81,0.048,0.001,2
9505800,0.45,84,0.0597,0.2944,3.7,0.046,0.011,2
9508300,0.19,141,0,0.5525,7.27,0.064,0.005,2
9510200,0.27,55,0,0.2015,9.43,0.064,0.004,2
9512280,0.21,33,0,0.057,4.33,0.067,0.006,2
9513780,0.16,57,0,0.1161,5.69,0.068,0.005,2
10172700,0.87,57,0.0594,0.2726,2.89,0.026,0.032,1
10172800,0.73,553,0.4448,3.1138,5.07,0.015,0.055,5
10173450,0.59,163,0.0591,1.0096,4.08,0.009,0.058,5
10205030,0.68,113,0.0942,0.5981,3.53,0.014,0.045,5
10234500,0.69,200,0.1659,1.1196,4.77,0.013,0.057,5
10242000,0.57,157,0.0936,0.9107,5.03,0.011,0.038,5
10244950,0.83,205,0.2184,1.0485,3.37,0.02,0.05,5
10249300,0.63,128,0.0587,0.734,4.35,0.012,0.044,5
10258500,0.33,21,0,0.0677,4.55,0.053,0.006,2
10259000,0.75,130,0.079,0.6561,2.71,0.042,0.019,1
10259200,0.31,27,0,0.0898,5.5,0.057,0.011,2
10263500,0.68,279,0.0954,1.6172,4.42,0.034,0.023,1
10316500,0.52,640,0.1242,5.4201,7.31,0.004,0.073,5
10329500,0.6,80,0.0317,0.5474,5.28,0.017,0.023,5
10336645,0.5,746,0.1028,6.1164,7.8,0.016,0.028,3
10336660,0.55,1082,0.1549,8.563,7.59,0.015,0.041,5
10343500,0.6,391,0.1485,2.6213,6.67,0.018,0.031,5
10396000,0.66,225,0.1572,1.5401,5.83,0.016,0.036,5
11098000,0.42,232,0.0117,1.0485,5.17,0.053,0.007,2
11124500,0.44,118,0,0.6116,4.82,0.048,0.006,2
11141280,0.59,172,0.077,0.8155,3.97,0.045,0.013,1
11143000,0.53,761,0.2022,4.7314,4.97,0.053,0.009,2
11148900,0.3,381,0,1.8698,5.95,0.067,0.001,2
11151300,0.33,24,3e-04,0.0845,5,0.052,0.004,2
11162500,0.41,346,0.0329,1.8298,5.46,0.06,0.005,2
11176400,0.29,107,0,0.4258,5.3,0.066,0.001,2
11180500,0.33,118,0,0.5913,5.57,0.063,0.001,2
11180960,0.33,192,0,0.9623,6.04,0.063,0.001,2
11224500,0.35,26,0,0.085,6.08,0.049,0.004,2
11230500,0.59,654,0.1443,5.181,4.84,0.008,0.07,5
11237500,0.5,703,0.0118,5.5863,7.4,0.008,0.036,3
11253310,0.4,26,0,0.1121,4.6,0.046,0.005,2
11264500,0.57,732,0.0627,5.8028,5.4,0.009,0.055,5
11266500,0.58,735,0.0764,5.7273,5.68,0.01,0.047,5
11274500,0.25,53,0,0.1547,5.71,0.066,0,2
11274630,0.38,43,0,0.1832,5.07,0.057,0.004,2
11284400,0.27,217,0,0.8738,5.59,0.062,0.002,2
11381500,0.68,823,0.6876,4.3141,4.91,0.039,0.023,1
11383500,0.62,559,0.3579,3.2304,5.73,0.044,0.014,1
11451100,0.4,677,0.0076,4.5143,6.74,0.064,0.002,2
11468500,0.39,684,0.0446,4.786,6.5,0.065,0.004,2
11473900,0.49,703,0.0153,4.9313,7.35,0.057,0.004,2
11475560,0.45,1320,0.1209,9.4985,6.44,0.064,0.005,4
11476600,0.44,1404,0.0442,10.8057,6.99,0.067,0.003,4
11478500,0.42,1280,0.0389,8.7598,7.54,0.065,0.003,4
11480390,0.4,851,0,6.2725,7.08,0.066,0.003,2
11481200,0.43,1137,0.1258,8.3882,7.18,0.065,0.006,4
11482500,0.49,1191,0.0579,8.8595,6.55,0.063,0.005,4
11522500,0.64,830,0.2254,5.3011,4.92,0.043,0.017,1
11523200,0.6,974,0.23,6.7073,6.22,0.028,0.02,1
11528700,0.55,612,0.0704,4.2877,5.38,0.055,0.006,2
11532500,0.51,2043,0.414,13.6406,6.43,0.061,0.007,4
12010000,0.5,2613,0.603,17.0399,5.65,0.064,0.007,4
12013500,0.5,1661,0.2533,11.3643,5.91,0.066,0.005,4
12020000,0.47,1760,0.2663,12.0498,6.39,0.067,0.005,4
12025700,0.55,1729,0.5701,10.7602,5.51,0.06,0.009,4
12035000,0.57,2408,0.8801,14.9018,5.76,0.063,0.008,4
12040500,0.52,3497,1.3966,20.6887,5.08,0.057,0.012,6
12041200,0.62,3462,2.9918,17.1185,3.84,0.05,0.021,6
12048000,0.68,851,0.743,4.457,3.64,0.036,0.039,1
12054000,0.6,2155,1.1948,11.3623,3.74,0.044,0.027,6
12056500,0.58,3159,1.3648,16.9762,3.86,0.048,0.021,6
12073500,0.67,601,0.5964,3.0582,4.56,0.054,0.016,1
12082500,0.69,1940,2.167,8.8776,3.09,0.039,0.032,6
12092000,0.7,1932,2.3349,8.6899,3.02,0.034,0.039,6
12114500,0.6,2060,0.9129,11.8969,4.49,0.04,0.023,6
12115000,0.59,2096,0.9026,11.8528,4.27,0.043,0.021,6
12115500,0.52,2442,0.7689,14.3299,4.36,0.047,0.016,6
12117000,0.7,1811,1.3048,9.2426,3.89,0.05,0.018,6
12145500,0.52,1393,0.4026,8.5413,5.09,0.06,0.01,4
12147500,0.63,2972,1.8052,15.0357,3.91,0.047,0.019,6
12147600,0.47,3508,1.2233,19.9221,4.17,0.043,0.021,6
12167000,0.58,2472,1.1196,13.3059,4.15,0.05,0.016,6
12175500,0.67,2045,1.2947,12.2329,4.01,0.018,0.063,6
12178100,0.62,2276,1.7196,12.5474,3.58,0.029,0.043,6
12186000,0.62,2450,1.661,13.4008,3.48,0.034,0.037,6
12189500,0.67,2067,1.9388,10.5249,3.46,0.035,0.038,6
12358500,0.61,839,0.3646,6.3932,5.5,0.012,0.056,5
12390700,0.65,404,0.203,2.9463,5.73,0.017,0.035,5
12411000,0.58,683,0.2511,4.9947,5.61,0.024,0.016,1
12414500,0.64,748,0.3516,5.3881,5.26,0.019,0.032,1
12447390,0.52,482,0.1392,3.9651,6.32,0.006,0.066,5
12451000,0.66,1506,0.7802,10.2161,4.24,0.014,0.06,6
12488500,0.63,982,0.4893,6.4208,4.84,0.022,0.043,1
13011500,0.52,594,0.218,4.904,5.21,0.006,0.063,5
13011900,0.62,535,0.3159,4.3648,4.7,0.009,0.08,5
13018300,0.69,381,0.2971,2.5165,4.12,0.012,0.069,5
13023000,0.71,475,0.3685,3.2635,4.27,0.012,0.057,5
13083000,0.83,100,0.1527,0.4231,2.94,0.026,0.031,1
13161500,0.61,94,0.0199,0.729,5,0.011,0.027,5
13235000,0.7,624,0.5322,4.018,4.62,0.014,0.054,5
13240000,0.53,944,0.2524,7.9572,5.74,0.009,0.056,5
13313000,0.57,517,0.2612,4.1914,5.78,0.009,0.057,5
13331500,0.62,635,0.2767,4.901,5.02,0.014,0.053,5
13337000,0.62,780,0.3438,5.9045,5.02,0.014,0.042,5
13338500,0.65,271,0.135,1.9479,4.81,0.015,0.037,5
13340000,0.64,526,0.2435,3.8922,4.99,0.015,0.04,5
13340600,0.66,885,0.5455,6.3151,4.74,0.018,0.037,1
14020000,0.61,592,0.3013,3.9533,6.31,0.034,0.013,1
14137000,0.66,1710,1.2015,8.7118,4.32,0.048,0.018,6
14138800,0.46,2375,0.3612,15.1454,5.35,0.054,0.01,4
14138870,0.53,2199,0.5767,13.1066,4.84,0.055,0.012,4
14138900,0.56,2876,1.4457,16.3476,4.98,0.053,0.014,6
14139800,0.54,2418,0.8354,14.2021,5.03,0.054,0.012,4
14141500,0.56,2017,0.6524,11.8251,4.82,0.053,0.013,4
14154500,0.5,935,0.1163,6.1276,6.48,0.058,0.008,2
14158500,0.82,1635,2.0336,7.7423,3.51,0.035,0.029,6
14158790,0.53,1883,0.2745,12.0538,5.53,0.048,0.012,4
14166500,0.55,870,0.1509,5.82,4.93,0.066,0.006,2
14182500,0.53,2161,0.3325,13.0427,5.26,0.057,0.01,4
14185000,0.55,1562,0.2885,9.6047,5.31,0.055,0.01,4
14185900,0.5,2201,0.3414,14.2243,5.8,0.058,0.008,4
14222500,0.56,1923,0.438,12.3084,5.29,0.059,0.009,4
14236200,0.57,1968,0.5896,11.7788,4.93,0.057,0.01,4
14301000,0.51,1303,0.1641,9.4777,6.28,0.067,0.005,4
14305500,0.52,2396,0.4419,16.0934,5.74,0.065,0.007,4
14306500,0.54,1429,0.2626,9.9633,5.8,0.066,0.006,4
14309500,0.45,935,0.0739,6.7156,7.29,0.068,0.003,2
14316700,0.5,1093,0.1789,7.3564,6.59,0.059,0.007,4
14325000,0.47,1534,0.1381,10.6589,7.44,0.066,0.004,4
14400000,0.47,2838,0.2889,20.6723,7.25,0.066,0.005,4
